NUM_RADAR,UBICACION,CARRETARA_O_VIAL,"UBICACIÓN
CALLE_30",PK,SENTIDO,TIPO,LONGITUD,LATITUD,COORDENADAS
1,"M-30, ENTRADA DE LA A-1, SENTIDO PUENTE DE VENTAS P.K. 0,500",M-30,00NC50,0+500,Calzada interior,Fijo carriles 3 y 4,-367.433808,4047.934148,DGP
2,"M-30, ENTRADA DE LA A-1, SENTIDO PUENTE DE VENTAS P.K. 0,500",M-30,00NC50,0+500,Calzada interior,Fijo carriles 3 y 4,-367.429089,4047.934175,DGP
3,"PASO INFERIOR COSTA RICA, SENTIDO PRÍNCIPE DE VERGARA",,,,,,-366.880283,4045.892328,DGP
4,"M-30, PTE. DE VENTAS. SENTIDO SUR A O´DONNELL P.K. 6,700",M-30,M-30,6+700,Tronco calzada interior,"Fijo carriles 1, 2 y 3",-366.014384,4042.618023,DGP
5,"M-30, PTE. DE VENTAS. SENTIDO SUR A O´DONNELL P.K. 6,700",M-30,M-30,6+700,Tronco calzada interior,"Fijo carriles 1, 2 y 3",-366.006141,4042.618971,DGP
6,"M-30, ENLACE O´DONNELL SENTIDO NORTE A PTE. DE VENTAS PK 7,800",M-30,M-30,7+800,Tronco calzada exterior,Fijo carriles 2 y 3,-365.926082,4041.663568,DGP
7,"M-30, ENLACE O´DONNELL SENTIDO NORTE A PTE. DE VENTAS PK 7,800",M-30,M-30,7+800,Tronco calzada exterior,Fijo carriles 2 y 3,-365.929627,4041.664449,DGP
8,"TÚNEL BAIPÁS, SENTIDO NORTE A PTE. DE VENTAS (MÉNDEZ ÁLVARO-AVDA. DEL METITARRÁNEO)",M-30,10XC30,10+300,Calzada exterior,Fijo carril 1,-3.670048,40.397352,Calle30
9,"TÚNEL BAIPÁS, SENTIDO NORTE A PTE. DE VENTAS (MÉNDEZ ÁLVARO-AVDA. DEL METITARRÁNEO)",M-30,10XC30,10+300,Calzada exterior,Fijo carril 3,-3.669973,40.397323,Calle30
10,"ENTRADA TÚNEL M-30, DESDE NUDO SUR HACIA PTE. DE LOS FRANCESES",M-30,13NL25,13+250,Calzada interior,Fijo carril 3,-369.499826,4038.678654,Calle30
11,"TÚNEL M-30, SENTIDO NUDO SUR - PTE. DE LOS FRANCESES, (GTA. LEGAZPI - Pº STA. Mª DE LA CABEZA)",M-30,13NL86,13+860,Calzada interior,Fijo carril 1,-3.699691,4.039118,Calle30
12,"TÚNES BAIPÁS, SENTIDO A-3 A PTE. FRANCESES, (GTA. LEGAZPI - Pº STA. Mª DE LA CABEZA)",M-30,14NC20,14+200,Calzada interior,Fijo carril 3,-3.703274,40.394924,Calle30
13,"PASEO DE STA. Mª DE LA CABEZA Nº 115, ENTRADA",PASEO DE SANTA MARIA DE LA CABEZA,,115,,,-371.017703,4039.052318,DGP
14,"TÚNES BAIPÁS, SENTIDO A3 A PTE. DE LOS FRANCESES, (ENLACE Pº STA. Mª DE LA CABEZA)",M-30,14NC74,14+740,Calzada interior,Fijo carril 1,-3.708108,4.039657,Calle30
15,"TÚNES BAIPÁS, SENTIDO A3 A PTE. DE LOS FRANCESES, (Pº STA. Mª DE LA CABEZA - GTA. PIRÁMIDES)",M-30,15NL01,15+010,Calzada interior,Fijo carril 3,-3.709684,40.397139,Calle30
16,"TÚNEL M-30, SENTIDO PTE. DE LOS FRANCESES - A3 (PTE. SAN ISIDRO - GTA. MARQUÉS DE VADILLO)",M-30,16XC53,16+530,Calzada exterior,Fijo multicarril,-3.722988,40.403114,Calle30
17,"TÚNEL M-30, SENTIDO NUDO SUR - PTE. DE LOS FRANCESES, (PASADA SALIDA VIRGEN DEL PUERTO)",M-30,17NC17,17+170,Calzada interior,Fijo carril 1,-3.721414,4.040939,Calle30
18,"TÚNEL AVDA. DE PORTUGAL, SENTIDO M-30",A5,04FT15,4+150,Entrada de Madrid,Fijo carril 1,-3.731092,4.041389,Calle30
19,"TÚNEL AVDA. DE PORTUGAL, SENTIDO M-30",A5,04FT15,4+150,Entrada de Madrid,Fijo carril 4,-0.373102,40.413797,Calle30
20,"A-5 PK 4,000, SALIDA",A5,,4,Salida,,-374.545156,4040.744539,DGP
21,"ENTRADA TÚNEL EN MARQUÉS DE MONISTROL, P.K. 19,060",M-30,19XC06,19+060,Calzada exterior,Fijo carril 2 y 3,-3.727663,40.422937,Calle30
22,"ENTRADA TÚNEL EN MARQUÉS DE MONISTROL, P.K. 19,060",M-30,19XC06,19+060,Calzada exterior,Fijo carril 2 y 3,-3.727724,40.422839,Calle30
23,"M-30  MARQUÉS DE MONISTROL, SENTIDO PTE. DE LOS FRANCESES (PTE. DEL REY - PTE. FRANCESES) P.K. 19,800",M-30,19NC90,19+900,Calzada interior,Fijo carriles 2 y 3,-373.482875,4042.763957,DGP
24,"M-30 SENTIDO AVDA. DE LA ILUSTRACIÓN (CTRA. DEL PARDO - AVDA. DE LA ILUSTRACIÓN) P.K. 25,700",M-30,25NC80,25+700,Calzada interior,Fijo multicarril,-374.530618,4047.43471,DGP
25,"M-30  SENTIDO CTRA DEL PARDO (AVDA. DE LA ILUSTRACIÓN - CTRA. DEL PARDO) P.K. 27,300",M-30,,27+300,,Fijo multicarril,-373.089695,4047.279048,DGP
26,"PASEO DE LA CASTELLA Nº 300, SALIDA",PASEO DE LA CASTELLANA,,300,Salida,Salida,-368.542793,4048.048344,DGP
